23,0,56
22.77,0.0,56.61
22.54,0.0,57.22
22.31,0.0,57.83
22.08,0.0,58.44
21.849,0.0,59.05
21.619,0.0,59.660
21.389,0.0,60.269
21.159,0.0,60.879
20.93,0.0,61.489
20.7,0.0,62.099
20.47,0.0,62.709
20.24,0.0,63.319
20.009,0.0,63.929
19.779,0.0,64.539
19.549,0.0,65.149
19.319,0.0,65.759
19.089,0.0,66.369
18.859,0.0,66.979
18.629,0.0,67.59
18.399,0.0,68.199
18.169,0.0,68.809
17.939,0.0,69.42
17.709,0.0,70.03
17.479,0.0,70.64
17.249,0.0,71.25
17.019,0.0,71.859
16.789,0.0,72.47
16.559,0.0,73.08
16.329,0.0,73.69
16.099,0.0,74.3
15.869,0.0,74.91
15.639,0.0,75.52
15.409,0.0,76.13
15.179,0.0,76.74
14.949,0.0,77.35
14.719,0.0,77.960
14.489,0.0,78.57
14.259,0.0,79.18
14.029,0.0,79.79
13.799,0.0,80.4
13.569,0.0,81.009
13.339,0.0,81.62
13.109,0.0,82.23
12.879,0.0,82.84
12.649,0.0,83.45
12.419,0.0,84.06
12.189,0.0,84.670
11.959,0.0,85.28
11.729,0.0,85.890
11.499,0.0,86.5
11.269,0.0,87.110
11.039,0.0,87.72
10.809,0.0,88.33
10.579,0.0,88.94
10.349,0.0,89.550
10.119,0.0,90.160
9.8899,0.0,90.77
9.6599,0.0,91.38
9.4299,0.0,91.990
9.1999,0.0,92.6
8.9699,0.0,93.210
8.7399,0.0,93.820
8.5099,0.0,94.43
8.2799,0.0,95.04
8.0499,0.0,95.65
7.8199,0.0,96.26
7.5899,0.0,96.87
7.3599,0.0,97.480
7.1299,0.0,98.09
6.8999,0.0,98.700
6.6699,0.0,99.310
6.4399,0.0,99.920
6.2099,0.0,100.53
5.9799,0.0,101.14
5.7499,0.0,101.75
5.5199,0.0,102.36
5.2899,0.0,102.97
5.0599,0.0,103.58
4.8299,0.0,104.19
4.5999,0.0,104.80
4.3699,0.0,105.41
4.1399,0.0,106.02
3.9099,0.0,106.63
3.6799,0.0,107.24
3.4499,0.0,107.85
3.2199,0.0,108.46
2.9899,0.0,109.07
2.7599,0.0,109.68
2.5299,0.0,110.29
2.2999,0.0,110.90
2.0699,0.0,111.51
1.8399,0.0,112.12
1.6099,0.0,112.73
1.3799,0.0,113.34
1.1499,0.0,113.95
0.9199,0.0,114.56
0.6899,0.0,115.17
0.4599,0.0,115.78
0.2299,0.0,116.39
0,0,117
2.5500,1.67,116.33
5.1000,3.34,115.66
7.6499,5.01,114.99
10.200,6.68,114.32
12.75,8.35,113.64
15.3,10.020,112.97
17.85,11.690,112.30
20.400,13.36,111.63
22.95,15.03,110.96
25.499,16.7,110.29
28.049,18.369,109.63
30.599,20.039,108.96
33.149,21.709,108.28
35.699,23.38,107.61
38.25,25.05,106.94
40.800,26.72,106.27
43.35,28.39,105.60
45.900,30.060,104.93
48.450,31.730,104.26
51.000,33.400,103.59
53.550,35.070,102.92
56.100,36.740,102.25
58.650,38.410,101.58
61.200,40.080,100.91
63.750,41.750,100.24
66.300,43.420,99.579
68.850,45.090,98.909
71.400,46.760,98.239
73.950,48.430,97.569
76.500,50.100,96.899
79.050,51.770,96.229
81.600,53.440,95.559
84.150,55.110,94.889
86.700,56.780,94.219
89.250,58.450,93.549
91.800,60.120,92.879
94.350,61.790,92.209
96.900,63.460,91.539
99.450,65.130,90.869
102.00,66.800,90.199
104.55,68.470,89.529
107.10,70.140,88.859
109.65,71.810,88.189
112.20,73.480,87.519
114.75,75.150,86.849
117.30,76.820,86.179
119.85,78.490,85.509
122.40,80.160,84.839
124.95,81.830,84.169
127.50,83.500,83.499
130.05,85.170,82.829
132.60,86.840,82.159
135.15,88.510,81.489
137.70,90.180,80.819
140.25,91.850,80.149
142.80,93.520,79.479
145.35,95.190,78.809
147.90,96.860,78.139
150.45,98.530,77.469
153.00,100.20,76.799
155.55,101.87,76.129
158.10,103.54,75.459
160.65,105.21,74.789
163.20,106.88,74.119
165.75,108.55,73.449
168.30,110.22,72.779
170.85,111.89,72.109
173.40,113.56,71.439
175.95,115.23,70.769
178.50,116.90,70.099
181.05,118.57,69.429
183.60,120.24,68.759
186.15,121.91,68.089
